City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Sacama,EC,77.0,moderate rain,-3.9,-79.2667,Hacienda Gonzabal
7,Kapaa,US,80.6,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
10,Chilca,PE,75.2,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
16,Atuona,PF,78.51,scattered clouds,-9.8,-139.0333,Villa Enata
18,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
22,Fare,PF,81.61,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
23,Lompoc,US,82.4,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
24,Meulaboh,ID,76.3,overcast clouds,4.1363,96.1285,Kost Pria
39,Cabo San Lucas,MX,78.8,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
41,Rikitea,PF,78.96,clear sky,-23.1203,-134.9692,Pension Maro'i
42,Butaritari,KI,80.58,broken clouds,3.0707,172.7902,Isles Sunset Lodge
45,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
46,Saint-Paul,RE,78.8,clear sky,-21.0096,55.2707,Boucan Canot
49,Arraial Do Cabo,BR,80.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
50,Morondava,MG,83.17,clear sky,-20.2833,44.2833,La Case Bambou
52,Muisne,EC,80.6,broken clouds,0.6,-80.0333,Quinta Samay
54,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
55,Villa Constitucion,AR,86.0,clear sky,-33.2278,-60.3297,HOTEL EMBAJADOR
58,Maiduguri,NG,72.23,clear sky,11.8464,13.1603,College of Nursing & Midwifery Female's Hostel
60,Alta Floresta,BR,75.34,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
61,Hithadhoo,MV,80.94,overcast clouds,-0.6,73.0833,Scoop Guest House
62,Hobyo,SO,75.94,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
63,Port-Gentil,GA,80.6,moderate rain,-0.7193,8.7815,Fengshui Residence
64,Avarua,CK,84.2,overcast clouds,-21.2078,-159.775,Paradise Inn
68,Acapulco,MX,84.2,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
73,Hilo,US,80.6,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
82,Samarai,PG,84.38,scattered clouds,-10.6167,150.6667,Nuli Sapi
86,Mareeba,AU,75.99,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
93,Benguela,AO,75.25,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
95,Faanui,PF,81.39,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
103,Sao Joao Da Barra,BR,80.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
108,Trairi,BR,79.86,overcast clouds,-3.2778,-39.2689,janelas do mar
110,Bengkulu,ID,75.16,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
111,Koumac,NC,84.15,broken clouds,-20.5667,164.2833,Le Monitel
113,Takoradi,GH,79.75,clear sky,4.8845,-1.7554,Raybow International Hotel
114,Guerrero Negro,MX,78.69,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
115,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
116,Rosarito,MX,78.8,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
119,Bambous Virieux,MU,80.01,broken clouds,-20.3428,57.7575,Casa Tia Villa
125,Carnarvon,AU,80.6,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
128,Georgetown,MY,79.0,few clouds,5.4112,100.3354,Cititel Penang
131,Kudahuvadhoo,MV,81.34,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
132,Ituporanga,BR,77.0,moderate rain,-27.4144,-49.6025,Hotel Jacaré
135,Tacna,PE,73.4,clear sky,-18.0056,-70.2483,Hotel Colón Inn
144,Lorengau,PG,83.75,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
147,Tebingtinggi,ID,77.0,light rain,3.3285,99.1625,Hotel Malibou tebing tinggi
151,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
155,Alofi,NU,86.0,scattered clouds,-19.0595,-169.9187,Taloa Heights
157,Geraldton,AU,78.8,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
158,Xuddur,SO,74.25,broken clouds,4.1213,43.8894,Banjanay Hotel
159,Richards Bay,ZA,73.0,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
164,Sinnamary,GF,77.81,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
166,Maceio,BR,77.0,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
176,General Delgado,PY,80.6,broken clouds,-27.1667,-56.5167,Andreea Patricia Estate
178,Puerto Ayora,EC,80.6,broken clouds,-0.7393,-90.3518,Castillo Galapagos
189,Kavieng,PG,84.2,broken clouds,-2.5744,150.7967,Nusa Island Retreat
193,Puerto Escondido,MX,82.4,light rain,15.85,-97.0667,Aldea del Bazar Hotel and Spa
194,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
203,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
205,Sibolga,ID,77.63,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
210,Puerto Colombia,CO,84.2,few clouds,10.9878,-74.9547,Hotel El Emigrante
217,Vila Velha,BR,79.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
219,Kimbe,PG,81.66,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
220,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
222,Mackay,AU,80.6,scattered clouds,-21.15,149.2,International Lodge Motel
225,Penha,BR,82.4,moderate rain,-26.7694,-48.6458,Hotel Mirante Do Parque
226,Valparaiso,CL,75.2,clear sky,-33.0393,-71.6273,Hotel Ultramar
227,Rio Grande,BR,75.0,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
230,Isangel,VU,86.0,few clouds,-19.55,169.2667,Volcano Sea View Tree House
239,Sao Jose Da Coroa Grande,BR,77.95,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
243,Florianopolis,BR,78.8,moderate rain,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
245,San Quintin,MX,72.99,clear sky,30.4833,-115.95,Old Mill Hotel
246,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
248,Batticaloa,LK,77.77,light rain,7.7102,81.6924,Grand Star Guest House
249,Iracoubo,GF,77.25,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
256,Torres,BR,75.47,light rain,-29.3353,-49.7269,Farol Hotel
258,Mananara,MG,75.97,light rain,-16.1667,49.7667,Chez Roger
259,Pacific Grove,US,78.8,clear sky,36.6177,-121.9166,Lovers Point Inn
