City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,60.01,56,35,8.01,light rain
1,Mishkino,RU,55.3389,63.9175,-1.95,90,0,12.06,clear sky
2,Gat,IL,31.61,34.7642,55.0,100,83,5.99,moderate rain
3,Chuy,UY,-33.6971,-53.4616,71.42,60,75,9.08,broken clouds
4,Port Lincoln,AU,-34.7333,135.8667,60.39,77,100,11.86,overcast clouds
5,Sacama,EC,-3.9,-79.2667,77.0,61,75,12.66,moderate rain
6,Ouegoa,NC,-20.35,164.4333,83.71,75,92,10.07,light rain
7,Kapaa,US,22.0752,-159.319,80.6,69,20,19.57,few clouds
8,Tura,IN,25.5198,90.2201,57.61,70,0,3.6,clear sky
9,East London,ZA,-33.0153,27.9116,70.34,71,92,4.9,overcast clouds
10,Chilca,PE,-12.5211,-76.7372,75.2,64,0,17.27,clear sky
11,Yulara,AU,-25.2406,130.9889,64.4,29,0,9.22,clear sky
12,Khatanga,RU,71.9667,102.5,-24.99,81,0,14.05,clear sky
13,Balkhash,KZ,46.844,74.9804,12.74,94,52,9.22,broken clouds
14,Lebu,CL,-37.6167,-73.65,59.45,77,0,21.12,clear sky
15,Riyadh,SA,24.6877,46.7219,64.4,32,0,5.75,clear sky
16,Atuona,PF,-9.8,-139.0333,78.51,77,50,14.81,scattered clouds
17,Juan Aldama,MX,24.2908,-103.3944,63.82,25,0,9.55,clear sky
18,Porto Novo,BJ,6.4965,2.6036,82.4,83,20,9.22,few clouds
19,Pesaro,IT,43.9036,12.8903,39.0,86,100,4.0,overcast clouds
20,Bognor Regis,GB,50.7821,-0.6798,39.99,92,100,12.46,overcast clouds
21,Castro,BR,-24.7911,-50.0119,66.18,95,100,9.57,light rain
22,Fare,PF,-16.7,-151.0167,81.61,74,0,13.02,clear sky
23,Lompoc,US,34.6391,-120.4579,82.4,18,0,12.66,clear sky
24,Meulaboh,ID,4.1363,96.1285,76.3,84,97,4.12,overcast clouds
25,Punta Arenas,CL,-53.15,-70.9167,62.6,59,0,36.82,clear sky
26,San Patricio,US,28.017,-97.5169,70.0,46,20,9.22,few clouds
