City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Coquimbo,CL,2021-01-17 01:29:38,-29.9533,-71.3436,59.0,88,0,8.05
1,Ushuaia,AR,2021-01-17 01:30:21,-54.8,-68.3,50.0,93,75,23.02
2,Cherskiy,RU,2021-01-17 01:31:24,68.75,161.3,-21.96,87,100,3.22
3,Cidreira,BR,2021-01-17 01:31:20,-30.1811,-50.2056,73.58,91,100,12.15
4,Barrow,US,2021-01-17 01:31:25,71.2906,-156.7887,-0.4,78,90,19.57
5,Albany,US,2021-01-17 01:29:12,42.6001,-73.9662,37.0,69,100,1.01
6,Aksu,CN,2021-01-17 01:31:25,41.1231,80.2644,10.18,87,0,2.06
7,Fare,PF,2021-01-17 01:31:25,-16.7,-151.0167,81.72,75,0,11.74
8,Vaini,TO,2021-01-17 01:31:25,-21.2,-175.2,87.8,79,75,11.5
9,Clyde River,CA,2021-01-17 01:31:25,70.4692,-68.5914,3.2,85,90,25.32
10,Hobart,AU,2021-01-17 01:31:25,-42.8794,147.3294,62.6,45,75,23.02
11,Jaciara,BR,2021-01-17 01:31:25,-15.9653,-54.9683,72.9,94,100,3.71
12,Abha,SA,2021-01-17 01:31:25,18.2164,42.5053,51.8,76,0,6.91
13,Castro,BR,2021-01-17 01:31:25,-24.7911,-50.0119,65.86,96,100,5.19
14,Mahebourg,MU,2021-01-17 01:31:25,-20.4081,57.7,78.8,83,40,10.36
15,Portland,US,2021-01-17 01:31:14,45.5234,-122.6762,46.99,86,100,1.99
16,Port Elizabeth,ZA,2021-01-17 01:31:25,-33.918,25.5701,68.0,77,0,14.97
17,Qaanaaq,GL,2021-01-17 01:31:25,77.484,-69.3632,4.17,82,30,5.08
18,Milkovo,RU,2021-01-17 01:31:26,54.7167,158.6167,3.65,92,100,6.02
19,Punta Arenas,CL,2021-01-17 01:30:32,-53.15,-70.9167,51.8,82,75,11.5
20,Kapaa,US,2021-01-17 01:31:26,22.0752,-159.319,79.0,73,20,8.05
21,Aleksandrov Gay,RU,2021-01-17 01:31:26,50.147,48.5704,4.75,94,3,9.62
22,Saldanha,ZA,2021-01-17 01:31:26,-33.0117,17.9442,60.8,88,0,2.3
23,Bluff,NZ,2021-01-17 01:31:26,-46.6,168.3333,58.48,81,100,15.68
24,Northam,GB,2021-01-17 01:31:26,51.0333,-4.2167,46.0,79,99,15.01
25,Raga,SS,2021-01-17 01:31:26,8.4596,25.678,63.23,29,100,2.48
26,Camopi,GF,2021-01-17 01:31:26,3.1655,-52.3158,71.8,98,100,1.72
27,Balkhash,KZ,2021-01-17 01:31:26,46.844,74.9804,5.0,78,0,11.18
28,Mataura,NZ,2021-01-17 01:31:26,-46.1927,168.8643,61.54,73,96,4.97
29,Busselton,AU,2021-01-17 01:31:26,-33.65,115.3333,75.0,47,0,5.99
30,Faanui,PF,2021-01-17 01:31:26,-16.4833,-151.75,81.79,75,0,11.68
31,Atuona,PF,2021-01-17 01:31:26,-9.8,-139.0333,77.49,76,1,13.87
32,Borogontsy,RU,2021-01-17 01:31:27,62.6683,131.1683,-39.55,80,100,3.36
33,Tuktoyaktuk,CA,2021-01-17 01:31:27,69.4541,-133.0374,-0.4,78,90,6.91
34,Labuhan,ID,2021-01-17 01:31:27,-6.8844,112.2051,82.24,77,100,7.54
35,Hasaki,JP,2021-01-17 01:31:27,35.7333,140.8333,43.0,52,75,10.36
36,Port Alfred,ZA,2021-01-17 01:31:27,-33.5906,26.891,64.0,93,39,1.01
37,Millinocket,US,2021-01-17 01:31:27,45.6573,-68.7098,33.8,93,90,10.36
38,Georgetown,MY,2021-01-17 01:31:27,5.4112,100.3354,81.0,83,20,2.3
39,Datia,IN,2021-01-17 01:31:27,25.6667,78.4667,48.33,63,0,4.43
40,Avarua,CK,2021-01-17 01:31:27,-21.2078,-159.775,86.0,70,75,8.05
41,Pierre,US,2021-01-17 01:31:27,44.3683,-100.351,37.4,52,90,10.36
42,Havoysund,NO,2021-01-17 01:31:27,70.9963,24.6622,35.6,93,75,9.22
43,Butaritari,KI,2021-01-17 01:31:27,3.0707,172.7902,81.18,74,73,19.17
44,Saint George,US,2021-01-17 01:31:23,37.1041,-113.5841,57.2,28,1,9.22
45,Vardo,NO,2021-01-17 01:27:50,70.3705,31.1107,34.86,86,100,20.2
46,Elko,US,2021-01-17 01:31:27,41.0002,-115.5012,42.8,52,1,1.32
47,Ponta Do Sol,PT,2021-01-17 01:31:27,32.6667,-17.1,55.0,64,41,1.01
48,Hami,CN,2021-01-17 01:31:28,42.8,93.45,14.94,69,0,1.36
49,Osa,RU,2021-01-17 01:31:28,57.2829,55.4567,11.48,95,100,8.88
50,Kenai,US,2021-01-17 01:31:28,60.5544,-151.2583,35.6,64,20,26.46
51,Jamestown,US,2021-01-17 01:31:28,42.097,-79.2353,30.99,86,90,17.27
52,Gosainganj,IN,2021-01-17 01:31:28,26.5833,82.3833,49.71,70,0,3.83
53,Raduzhnyy,RU,2021-01-17 01:31:28,62.0961,77.475,6.67,94,100,9.93
54,Dalvik,IS,2021-01-17 01:31:28,65.9702,-18.5286,32.0,100,0,2.3
55,Rikitea,PF,2021-01-17 01:31:28,-23.1203,-134.9692,79.11,68,49,7.27
56,San Cristobal,VE,2021-01-17 01:31:28,7.7669,-72.225,80.6,69,20,2.3
57,Hilo,US,2021-01-17 01:31:28,19.7297,-155.09,80.6,54,20,11.5
58,Hithadhoo,MV,2021-01-17 01:31:28,-0.6,73.0833,81.03,75,100,12.28
59,Constitucion,CL,2021-01-17 01:31:29,-35.3333,-72.4167,58.89,71,0,13.29
60,Yangambi,CD,2021-01-17 01:31:29,0.8102,24.4336,70.38,92,81,1.36
61,Husavik,IS,2021-01-17 01:31:29,66.0449,-17.3389,32.0,100,0,2.3
62,Luderitz,NA,2021-01-17 01:31:29,-26.6481,15.1594,62.74,76,0,10.69
63,Bannu,PK,2021-01-17 01:30:43,32.9854,70.6027,46.96,44,0,0.96
64,Mandalgovi,MN,2021-01-17 01:31:29,45.7625,106.2708,1.53,79,39,8.7
65,Mar Del Plata,AR,2021-01-17 01:28:27,-38.0023,-57.5575,64.99,77,90,6.91
66,Ngunguru,NZ,2021-01-17 01:31:29,-35.6167,174.5,78.01,69,100,13.0
67,Ancud,CL,2021-01-17 01:31:29,-41.8697,-73.8203,55.99,82,75,3.44
68,Ilulissat,GL,2021-01-17 01:31:29,69.2167,-51.1,15.8,45,4,4.61
69,Victoria,HK,2021-01-17 01:30:32,22.2855,114.1577,60.01,57,55,1.01
70,Samarai,PG,2021-01-17 01:31:29,-10.6167,150.6667,85.93,72,100,18.9
71,Puerto Ayora,EC,2021-01-17 01:31:29,-0.7393,-90.3518,75.0,93,68,1.99
72,Goderich,CA,2021-01-17 01:31:29,43.7501,-81.7165,32.0,86,100,10.36
73,Sao Gabriel Da Cachoeira,BR,2021-01-17 01:31:29,-0.1303,-67.0892,74.03,96,39,0.16
74,Khani,GE,2021-01-17 01:31:29,41.9563,42.9566,51.8,54,90,25.32
75,Hermanus,ZA,2021-01-17 01:31:29,-34.4187,19.2345,61.0,89,0,5.46
76,Kavieng,PG,2021-01-17 01:31:30,-2.5744,150.7967,84.85,72,19,18.32
77,Maumere,ID,2021-01-17 01:31:30,-8.6199,122.2111,83.59,71,66,1.05
78,Namatanai,PG,2021-01-17 01:31:30,-3.6667,152.4333,85.35,68,81,12.95
79,Saint-Philippe,RE,2021-01-17 01:31:30,-21.3585,55.7679,77.0,78,0,5.75
80,Mehamn,NO,2021-01-17 01:31:30,71.0357,27.8492,34.79,87,96,14.16
81,Bathsheba,BB,2021-01-17 01:31:30,13.2167,-59.5167,78.8,69,20,16.11
82,Luba,GQ,2021-01-17 01:31:30,3.4568,8.5547,75.2,88,20,6.91
83,Marawi,PH,2021-01-17 01:31:30,7.9986,124.2928,79.0,88,100,3.49
84,Leningradskiy,RU,2021-01-17 01:31:30,69.3833,178.4167,-20.99,86,100,3.11
85,Severnoye,RU,2021-01-17 01:31:30,56.3491,78.3619,5.34,93,100,10.94
86,Cape Town,ZA,2021-01-17 01:29:59,-33.9258,18.4232,64.99,88,0,6.91
87,Beloha,MG,2021-01-17 01:31:30,-25.1667,45.05,75.07,73,68,3.24
